Postcode,lat,Lon
1012HD,52.37376793,4.89756291
1012HE,52.37380023,4.89748147
1012HG,52.37324707,4.89660340
1012HH,52.37273125,4.89574453
1012HJ,52.37196466,4.89508666
1012HK,52.37218107,4.89485695
1012HL,52.37218107,4.89506930
1012HM,52.37152493,4.89472536
1012HN,52.37081683,4.89437915
1012HP,52.37023853,4.89415081
1012HR,52.36996989,4.89408079
1012HS,52.36976275,4.89377645
1012HT,52.37615926,4.89962128
1012HV,52.37576978,4.89889129
1012HW,52.37540817,4.89839717
1012HX,52.37508418,4.89799135
1012HZ,52.37478410,4.89743413
1012JA,52.37435926,4.89686630
1012JB,52.37394341,4.89626813
1012JC,52.37357250,4.89568484
1012JD,52.37634678,4.89944408
1012JE,52.37583196,4.89871438
1012JG,52.37545602,4.89816072
1012JH,52.37515448,4.89773804
1012JJ,52.37441240,4.89665943
1012JJ,52.37444809,4.89665758
1012JK,52.37365290,4.89556647
1012JL,52.37247893,4.89562845
1012JM,52.37235268,4.89545365
1012JN,52.37594600,4.89759060
1012JP,52.37603581,4.89780816
1012JS,52.37329470,4.89438725
1012JT,52.37519715,4.89734096
1012JV,52.37532221,4.89669891
1012JW,52.37460531,4.89596947
1012JZ,52.37121678,4.89712192
1012KB,52.37249793,4.89267385
1012KC,52.37233688,4.89403334
1012KD,52.37126132,4.89397354
1012KE,52.37207387,4.89350016
1012KE,52.37194909,4.89354538
1012KG,52.37243179,4.89380339
1012KH,52.37137069,4.89323990
1012KJ,52.37038953,4.89320920
1012KK,52.37246542,4.89344667
1012KL,52.37078338,4.89307405
1012KM,52.37008141,4.89293322
1012KN,52.36968675,4.89279241
1012KP,52.36953384,4.89282558
1012KR,52.37240060,4.89268754
1012KS,52.37186106,4.89263562
1012KS,52.37186057,4.89250336
1012KT,52.37162057,4.89260855
1012KV,52.37121342,4.89249520
1012KW,52.37090540,4.89204533
1012KW,52.37072775,4.89235498
1012KX,52.36993532,4.89205426
1012KZ,52.36967439,4.89198376
1012LA,52.36917929,4.89179840
1012LB,52.36888271,4.89191937
1012LC,52.36862861,4.89208590
1012LD,52.36837172,4.89220135
1012LE,52.36801376,4.89268022
1012LG,52.37714656,4.89804114
1012LH,52.37670738,4.89810807
1012LJ,52.37645391,4.89762443
1012LK,52.37607480,4.89658230
1012LL,52.37555031,4.89586862
1012LM,52.37500857,4.89521369
1012LN,52.37436160,4.89438555
1012LP,52.37407806,4.89406390
1012LP,52.37359879,4.89336436
1012LR,52.37710053,4.89736685
1012LS,52.37642494,4.89658283
1012LT,52.37570176,4.89570271
1012LV,52.37521847,4.89509235
1012LW,52.37482577,4.89450340
1012LX,52.37425560,4.89402374
1012LZ,52.37889854,4.89625600
1012MA,52.37827255,4.89593660
1012MB,52.37771802,4.89677567
1012MB,52.37745420,4.89746825
1012MC,52.37705399,4.89679264
1012MD,52.37641504,4.89627014
1012ME,52.37568262,4.89520621
1012MG,52.37524946,4.89500940
1012MH,52.37447203,4.89370708
1012MH,52.37363223,4.89276191
1012MJ,52.37766458,4.89716809
1012MK,52.37879002,4.89498349
1012ML,52.37845939,4.89557640
1012MN,52.37801210,4.89579887
1012MP,52.37758424,4.89659376
1012MR,52.37705442,4.89657196
1012MS,52.37630561,4.89588952
1012MT,52.37530216,4.89455029
1012MV,52.37485060,4.89396720
1012MX,52.37421818,4.89318124
1012MZ,52.37869141,4.89473333
1012NA,52.37823489,4.89553204
1012NB,52.37720611,4.89647348
1012NC,52.37659945,4.89590242
1012ND,52.37644666,4.89528875
1012NE,52.37602005,4.89491052
1012NG,52.37530216,4.89455009
